Healthy,,(3.6166882793e-11+0.000120055972569j),(-3.56021402214e-05+9.2806519588e-06j),(-1.85717146241e-05+5.66952209358e-06j),(-1.45277781316e-05+3.90703323241e-06j),(-1.13242384565e-05+2.28579623483e-06j),(-9.43967395012e-06+1.69542827293e-06j),(-7.95850451404e-06+1.03743120914e-06j),(-6.89397695134e-06+8.31823510036e-07j),(-6.16590968954e-06+6.67898763789e-07j),(-5.46672182005e-06+7.14515940327e-07j),(-4.9836285457e-06+6.8843485754e-07j),(-4.44272853767e-06+6.80918475873e-07j),(-4.10280235866e-06+5.38389663164e-07j),(-3.79225104621e-06+3.05524510427e-07j),(-3.52882141878e-06+2.07216625987e-07j),(-3.3426935501e-06+1.60428234618e-07j),(-3.11096468692e-06+1.93441386249e-07j),(-2.93731159921e-06+2.55211958265e-07j),(-2.7514683944e-06+1.62939624567e-07j),(-2.69142323952e-06+1.44834312828e-07j),(-2.56319261695e-06+1.06359681787e-07j),
Healthy,,(7.20359975062e-11+0.000202666945137j),(-5.41645560597e-05+7.10957594513e-06j),(-2.66030123317e-05+5.0563264752e-06j),(-1.96164149638e-05+3.8724707337e-06j),(-1.52670497534e-05+2.31295574078e-06j),(-1.265835371e-05+1.68130226255e-06j),(-1.06825559026e-05+1.07514637106e-06j),(-9.22902348848e-06+7.90753215974e-07j),(-8.22996076744e-06+5.39222375398e-07j),(-7.34842505226e-06+5.74334438769e-07j),(-6.7030835821e-06+5.51374683917e-07j),(-6.07579534348e-06+5.1423370307e-07j),(-5.62922156999e-06+3.95707464374e-07j),(-5.22898981875e-06+2.33847058182e-07j),(-4.88746030324e-06+1.7718387746e-07j),(-4.57118385691e-06+1.52947398589e-07j),(-4.26799930889e-06+1.79193457308e-07j),(-4.00274407366e-06+1.92879918733e-07j),(-3.79608533634e-06+1.41820904984e-07j),(-3.64969249223e-06+1.01806067486e-07j),(-3.49486835246e-06+8.73431109611e-08j),
Healthy,,(1.02250124688e-10+0.0002914590399j),(-7.47361176869e-05+8.07894111414e-06j),(-3.50743994972e-05+4.58869652714e-06j),(-2.53960808908e-05+4.02562732576e-06j),(-1.98163736702e-05+2.41065885988e-06j),(-1.62841257595e-05+1.7312306535e-06j),(-1.37367901513e-05+1.12583710593e-06j),(-1.18483057755e-05+8.6647855558e-07j),(-1.05655375485e-05+6.24694723409e-07j),(-9.42006700218e-06+6.67217426234e-07j),(-8.57216405451e-06+6.43535937704e-07j),(-7.71789904099e-06+5.8693907637e-07j),(-7.10790461303e-06+4.33411864304e-07j),(-6.57654935203e-06+2.34598283709e-07j),(-6.11270762623e-06+1.85734823163e-07j),(-5.73385019384e-06+1.43825084774e-07j),(-5.3518762795e-06+1.70180777111e-07j),(-5.04675421671e-06+1.61320489156e-07j),(-4.74144193353e-06+1.19321528917e-07j),(-4.53410445133e-06+7.0552031394e-08j),(-4.32045926988e-06+2.4755620267e-08j),
Healthy,,(5.98779800499e-11+0.000164912381546j),(-5.10207550028e-05+5.14232384644e-06j),(-2.20868745457e-05+4.69233092646e-06j),(-1.67309749286e-05+3.26813924199e-06j),(-1.29799534697e-05+2.01881012496e-06j),(-1.07388331225e-05+1.48592756692e-06j),(-9.04960720576e-06+9.35862320899e-07j),(-7.80132098773e-06+7.32007392413e-07j),(-6.97444474566e-06+4.75091569632e-07j),(-6.20582368695e-06+5.50638509268e-07j),(-5.6775019519e-06+5.49249740611e-07j),(-5.09914640667e-06+5.34718111827e-07j),(-4.70460152747e-06+4.24290929807e-07j),(-4.3720911279e-06+2.53413926063e-07j),(-4.06559660291e-06+1.64635665262e-07j),(-3.82324958562e-06+1.28868710996e-07j),(-3.57340992279e-06+1.20861035245e-07j),(-3.37683392054e-06+1.53218048229e-07j),(-3.18774949918e-06+9.67072259873e-08j),(-3.08669167633e-06+8.03593755778e-08j),(-2.97109305116e-06+8.4939088928e-08j),
Cancer,,(2.95496508728e-11+8.40129800499e-05j),(-2.93113267805e-05+7.84024897734e-06j),(-1.45627182488e-05+4.99393512254e-06j),(-1.16475745564e-05+3.3385300697e-06j),(-9.10096655981e-06+1.99972224067e-06j),(-7.55985384583e-06+1.45180089283e-06j),(-6.3977192007e-06+9.485823257e-07j),(-5.53757043435e-06+7.43208876111e-07j),(-4.97637077091e-06+5.30204902814e-07j),(-4.38341726372e-06+6.14036594739e-07j),(-4.01973914409e-06+5.85733396955e-07j),(-3.57550506511e-06+5.34030168387e-07j),(-3.28537230584e-06+4.3502996278e-07j),(-3.0645112198e-06+2.29665484082e-07j),(-2.89391680324e-06+1.65220067503e-07j),(-2.71653322928e-06+1.25345051776e-07j),(-2.56591285085e-06+1.15677349571e-07j),(-2.41308946011e-06+1.6775600123e-07j),(-2.28232379287e-06+1.08152280816e-07j),(-2.22246933609e-06+1.06454641576e-07j),(-2.13224163969e-06+8.38861373892e-08j),
Healthy,,(8.31504987531e-11+0.000234362468828j),(-5.60976532353e-05+8.65564827203e-06j),(-2.878883474e-05+5.96550193042e-06j),(-2.12622460616e-05+4.26315597075e-06j),(-1.67056801448e-05+2.44063525746e-06j),(-1.37872104353e-05+1.66107974942e-06j),(-1.16448614016e-05+9.98562375178e-07j),(-1.00471853629e-05+6.96420479925e-07j),(-8.95748771724e-06+4.1183267504e-07j),(-7.9755711099e-06+4.54539926011e-07j),(-7.27788997602e-06+3.82779163274e-07j),(-6.56625429941e-06+3.41238553451e-07j),(-6.07146946136e-06+1.91384340181e-07j),(-5.63966314763e-06+6.09352573684e-09j),(-5.26425372665e-06-5.75038306979e-08j),(-4.95897912238e-06-1.08092579925e-07j),(-4.65229199669e-06-1.12485242029e-07j),(-4.41418065386e-06-7.29651716541e-08j),(-4.19307626775e-06-1.58714522052e-07j),(-4.032546651e-06-1.56741781532e-07j),(-3.86940199356e-06-1.65478696625e-07j),
Healthy,,(7.40396508728e-11+0.000195506421446j),(-4.32834657314e-05+7.73051133665e-06j),(-2.42647728331e-05+7.39992341537e-06j),(-1.86729987021e-05+4.47810945492e-06j),(-1.45868156066e-05+2.48409833578e-06j),(-1.19827096054e-05+1.77080258076e-06j),(-1.01130086542e-05+1.10123210409e-06j),(-8.68824168316e-06+8.35323806869e-07j),(-7.74570584652e-06+5.22336942256e-07j),(-6.91338697989e-06+5.73649433309e-07j),(-6.30654106578e-06+5.4448712212e-07j),(-5.68945738905e-06+4.79990692891e-07j),(-5.25458496744e-06+3.43033500486e-07j),(-4.89147212018e-06+1.42438718709e-07j),(-4.55044076261e-06+4.93762278163e-08j),(-4.28828521229e-06+1.19172847182e-08j),(-4.03798113877e-06+2.13643408092e-08j),(-3.78856223793e-06+7.26559369419e-08j),(-3.59397606513e-06+4.27880534281e-09j),(-3.45188318638e-06-5.60092161388e-09j),(-3.28838821346e-06-1.88791330263e-08j),
Healthy,,(8.66153366584e-11+0.000258594089776j),(-6.98330316663e-05+1.27069149305e-05j),(-3.33731425326e-05+4.77166092126e-06j),(-2.40869320953e-05+4.09385799806e-06j),(-1.88568735222e-05+2.39171607284e-06j),(-1.54688301554e-05+1.6546726395e-06j),(-1.31028369199e-05+1.0467211641e-06j),(-1.1313116022e-05+7.52377270314e-07j),(-1.0053820309e-05+4.89755800964e-07j),(-8.96746719747e-06+5.00523682422e-07j),(-8.14916457692e-06+4.49949589129e-07j),(-7.35880034583e-06+3.87425175067e-07j),(-6.78507563851e-06+2.27319322629e-07j),(-6.26309801729e-06+2.90310221586e-08j),(-5.84628846855e-06-6.01205734918e-08j),(-5.51301315602e-06-1.32244418544e-07j),(-5.18524693104e-06-1.34723300139e-07j),(-4.92433102118e-06-9.81168083633e-08j),(-4.66315619755e-06-1.68873610123e-07j),(-4.49652207165e-06-1.64404461624e-07j),(-4.27735791662e-06-1.79457926513e-07j),
Healthy,,(1.05611221945e-10+0.000282476296758j),(-6.34641019073e-05+7.72025766462e-06j),(-3.05078263225e-05+4.04657770986e-06j),(-2.26938854153e-05+3.79776674594e-06j),(-1.77168609975e-05+2.26142446138e-06j),(-1.45919736532e-05+1.62707840662e-06j),(-1.23448560301e-05+1.00308785325e-06j),(-1.06258688995e-05+7.05278554177e-07j),(-9.48231112927e-06+4.50023275264e-07j),(-8.44611312988e-06+4.75902250396e-07j),(-7.6743281335e-06+4.19907100186e-07j),(-6.95014438268e-06+4.02863293734e-07j),(-6.40122957298e-06+2.56305719027e-07j),(-5.96870666723e-06+6.99390962911e-08j),(-5.56365024565e-06-1.10111923968e-08j),(-5.22197001543e-06-6.45616067184e-08j),(-4.90763397798e-06-3.92676626597e-08j),(-4.62251586842e-06-2.78473099567e-08j),(-4.37517124436e-06-7.23072627732e-08j),(-4.19859116561e-06-1.28043072913e-07j),(-4.0243940036e-06-1.37593864722e-07j),
Healthy,,(9.96770573566e-11+0.000250255835411j),(-4.78150216716e-05+5.90635210061e-06j),(-2.66454002437e-05+5.43397316876e-06j),(-1.99562202466e-05+4.15346835465e-06j),(-1.57013726941e-05+2.49091424531e-06j),(-1.29710698795e-05+1.76308536966e-06j),(-1.09601419995e-05+1.12848966144e-06j),(-9.43235591258e-06+8.68183502196e-07j),(-8.40940562155e-06+6.18675477579e-07j),(-7.45929517275e-06+6.22950646171e-07j),(-6.81578769917e-06+5.98580028422e-07j),(-6.12389704276e-06+5.76176705445e-07j),(-5.65437387727e-06+4.30372208449e-07j),(-5.23888106322e-06+2.27925988563e-07j),(-4.87747150249e-06+1.7065816948e-07j),(-4.58861454872e-06+1.11924673931e-07j),(-4.25694449097e-06+1.33106574516e-07j),(-4.00340411244e-06+1.38561205833e-07j),(-3.77130042672e-06+8.21147092594e-08j),(-3.61837750794e-06+4.15532846584e-08j),(-3.45254995479e-06+2.49432823594e-08j),
