Healthy,,0,(-3.56021402214e-05+9.2806519588e-06j) (3.56021700229e-05+9.28068086031e-06j),(-1.85717146241e-05+5.66952209358e-06j) (1.85717259028e-05+5.66954822221e-06j),(-1.45277781316e-05+3.90703323241e-06j) (1.45277816877e-05+3.90705496069e-06j),(-1.13242384565e-05+2.28579623483e-06j) (1.13242377307e-05+2.28581443491e-06j),(-9.43967395012e-06+1.69542827293e-06j) (9.43967057736e-06+1.69544347607e-06j),
Healthy,,0,(-5.41645560597e-05+7.10957594513e-06j) (5.41646312532e-05+7.10964035214e-06j),(-2.66030123317e-05+5.0563264752e-06j) (2.66030435493e-05+5.05638556049e-06j),(-1.96164149638e-05+3.8724707337e-06j) (1.96164289187e-05+3.87251753272e-06j),(-1.52670497534e-05+2.31295574078e-06j) (1.52670557092e-05+2.31299361129e-06j),(-1.265835371e-05+1.68130226255e-06j) (1.26583552728e-05+1.68133356012e-06j),
Healthy,,0,(-7.47361176869e-05+8.07894111414e-06j) (7.47362299486e-05+8.07903558107e-06j),(-3.50743994972e-05+4.58869652714e-06j) (3.5074447698e-05+4.5887844563e-06j),(-2.53960808908e-05+4.02562732576e-06j) (2.53961026444e-05+4.02569787327e-06j),(-1.98163736702e-05+2.41065885988e-06j) (1.98163831025e-05+2.4107161289e-06j),(-1.62841257595e-05+1.7312306535e-06j) (1.62841284662e-05+1.73127821619e-06j),
Healthy,,0,(-5.10207550028e-05+5.14232384644e-06j) (5.10208097238e-05+5.1423782099e-06j),(-2.20868745457e-05+4.69233092646e-06j) (2.20868947549e-05+4.69237604666e-06j),(-1.67309749286e-05+3.26813924199e-06j) (1.67309836757e-05+3.26817503477e-06j),(-1.29799534697e-05+2.01881012496e-06j) (1.29799561152e-05+2.01883973755e-06j),(-1.07388331225e-05+1.48592756692e-06j) (1.07388320097e-05+1.48595241483e-06j),
Cancer,,0,(-2.93113267805e-05+7.84024897734e-06j) (2.93113502458e-05+7.84026891429e-06j),(-1.45627182488e-05+4.99393512254e-06j) (1.45627295635e-05+4.99395224923e-06j),(-1.16475745564e-05+3.3385300697e-06j) (1.16475814021e-05+3.33854466429e-06j),(-9.10096655981e-06+1.99972224067e-06j) (9.10097059956e-06+1.99973511907e-06j),(-7.55985384583e-06+1.45180089283e-06j) (7.55985582136e-06+1.45181226418e-06j),
Healthy,,0,(-5.60976532353e-05+8.65564827203e-06j) (5.60977445071e-05+8.65572192864e-06j),(-2.878883474e-05+5.96550193042e-06j) (2.8788875294e-05+5.96557183686e-06j),(-2.12622460616e-05+4.26315597075e-06j) (2.1262265334e-05+4.26321242859e-06j),(-1.67056801448e-05+2.44063525746e-06j) (1.67056892654e-05+2.44068130843e-06j),(-1.37872104353e-05+1.66107974942e-06j) (1.37872139994e-05+1.66111801618e-06j),
Healthy,,0,(-4.32834657314e-05+7.73051133665e-06j) (4.32835489588e-05+7.73057345001e-06j),(-2.42647728331e-05+7.39992341537e-06j) (2.42648125897e-05+7.39998373423e-06j),(-1.86729987021e-05+4.47810945492e-06j) (1.86730199737e-05+4.47815883711e-06j),(-1.45868156066e-05+2.48409833578e-06j) (1.45868278231e-05+2.48413918537e-06j),(-1.19827096054e-05+1.77080258076e-06j) (1.1982716653e-05+1.77083700379e-06j),
Healthy,,0,(-6.98330316663e-05+1.27069149305e-05j) (6.98331242605e-05+1.27069922946e-05j),(-3.33731425326e-05+4.77166092126e-06j) (3.33731837719e-05+4.77173320482e-06j),(-2.40869320953e-05+4.09385799806e-06j) (2.40869511532e-05+4.09391687296e-06j),(-1.88568735222e-05+2.39171607284e-06j) (1.88568818167e-05+2.39176415353e-06j),(-1.54688301554e-05+1.6546726395e-06j) (1.54688325469e-05+1.65471255739e-06j),
Healthy,,0,(-6.34641019073e-05+7.72025766462e-06j) (6.34642276073e-05+7.72034891723e-06j),(-3.05078263225e-05+4.04657770986e-06j) (3.05078889929e-05+4.04666885405e-06j),(-2.26938854153e-05+3.79776674594e-06j) (2.26939180773e-05+3.79784259215e-06j),(-1.77168609975e-05+2.26142446138e-06j) (1.77168791007e-05+2.26148652106e-06j),(-1.45919736532e-05+1.62707840662e-06j) (1.45919840442e-05+1.62712996159e-06j),
Healthy,,0,(-4.78150216716e-05+5.90635210061e-06j) (4.78151446028e-05+5.90643694982e-06j),(-2.66454002437e-05+5.43397316876e-06j) (2.66454622431e-05+5.43406204321e-06j),(-1.99562202466e-05+4.15346835465e-06j) (1.99562523108e-05+4.15354306085e-06j),(-1.57013726941e-05+2.49091424531e-06j) (1.57013900794e-05+2.49097605765e-06j),(-1.29710698795e-05+1.76308536966e-06j) (1.29710791998e-05+1.76313723138e-06j),
